N,P,K,temperature,humidity,rainfall,ph,label
197.7,58.35,236.64,29.46,72.48,1315.26,6.37,papaya
156.42,84.58,239.16,25.49,73.14,1092.08,6.15,papaya
170.63,50.47,194.41,25.58,82.53,1025.02,6.12,papaya
179.9,72.95,236.3,29.34,83.44,1086.36,6.31,papaya
184.66,69.39,222.51,28.61,78.43,1061.21,6.42,papaya
191.72,99.58,171.47,26.6,86.52,1283.43,6.35,papaya
150.4,86.06,183.41,27.82,85.61,1165.66,6.24,papaya
180.99,94.98,203.18,26.52,80.86,1054.98,6.05,papaya
189.69,65.85,234.91,28.25,72.28,1112.78,6.04,papaya
198.07,76.68,172.5,27.44,73.52,1324.93,6.07,papaya
177.79,97.9,221.41,28.62,70.66,1259.53,6.33,papaya
166.94,67.85,202.44,29.15,81.86,1314.45,6.42,papaya
177.23,79.47,199.2,27.09,87.47,1445.08,6.09,papaya
182.13,77.68,187.53,28.29,71.76,1426.56,6.36,papaya
158.57,71.14,212.22,25.86,73.23,1402.17,6.17,papaya
160.29,57.87,166.4,28.89,89.57,1355.3,6.02,papaya
171.18,75.49,235.56,28.59,85.32,1194.41,6.33,papaya
192.01,52.88,236.01,27.73,75.95,1417.65,6.09,papaya
175.38,80.34,217.95,26.34,73.75,1044.82,6.23,papaya
177,80.56,173.49,26.69,73.17,1434.81,6.31,papaya
191.5,72.35,218,27.33,71.88,1003.55,6.28,papaya
174.05,50.39,240.39,29.31,72.27,1008.68,6.21,papaya
188.51,76.82,205.02,25.1,80.9,1020.49,6.33,papaya
192.81,71.02,185.43,27.16,72.13,1108.37,6.08,papaya
196.22,90.58,228.09,29.77,80.65,1215.17,6.05,papaya
161.28,78.19,190.4,25.96,79.07,1114.9,6.32,papaya
156.54,58.23,186.29,28,79.5,1475.42,6.48,papaya
155.31,66.33,200.19,26.67,77.97,1074.62,6.03,papaya
156.11,92.87,213.86,28.91,71.88,1129.02,6.39,papaya
167.26,58.34,226.01,29.56,85.38,1373.03,6.01,papaya
194.28,84.34,198.89,26.84,73,1267.4,6.3,papaya
170.03,61.68,161.88,25.46,76.6,1158.77,6.03,papaya
151.86,65.15,151.77,28.14,70.59,1410.02,6.07,papaya
189.1,97.5,233.02,29.79,84.87,1487.75,6.05,papaya
191.86,96.2,246.45,26.87,81.73,1411.25,6.11,papaya
167.91,57.97,228.65,27.6,76.34,1141.3,6.16,papaya
162.77,80.38,206.95,28.34,79.97,1328.92,6.13,papaya
171.7,70.99,211.82,28.4,80.96,1094.17,6.27,papaya
184.99,51.84,163.94,29.12,82.31,1156.32,6.01,papaya
179.08,75.64,176.83,26.97,75.01,1450.81,6.3,papaya
154.18,97.29,237.77,29.26,85.23,1130.19,6.19,papaya
194.03,55.54,171.21,29.36,78.82,1368.14,6.13,papaya
193.59,77.62,163.85,29.07,70.67,1033.14,6.03,papaya
189.29,72.06,223.33,28.89,75.48,1221.04,6.25,papaya
164.34,87.19,245.95,26.28,75.71,1081.88,6.36,papaya
173.6,81.03,232.97,29.5,78.45,1436.29,6.14,papaya
152.75,87.82,152.92,28.6,76.02,1161.42,6.06,papaya
152.38,99.38,184.12,28.42,84.64,1228.01,6.01,papaya
155.76,80.46,222.06,25.42,74.4,1169.27,6.02,papaya
177.02,58.56,225.24,28.59,82.13,1454.33,6.44,papaya
184.3,76.31,238.73,28.7,70.37,1082.23,6.03,papaya
160.68,50.88,176.93,25.28,87.62,1180.89,6.31,papaya
183.37,64.71,183.85,29.35,73.42,1153.38,6.25,papaya
157.83,62.71,228.26,25.39,86.21,1323.1,6.01,papaya
182.07,90.39,177.83,25.01,77.02,1171.84,6.45,papaya
153.78,91.51,225.67,25.61,71.86,1488.89,6.19,papaya
161.15,92.44,166.73,28.52,86.08,1220.09,6.46,papaya
188.47,73.53,224.8,27.61,74.88,1270.27,6.11,papaya
158.81,70.93,191.94,28.56,87.72,1024.97,6.2,papaya
198.14,52.31,208.53,29.81,86.53,1365.26,6.43,papaya
174.43,65.34,169.71,29.72,87.27,1245.86,6.2,papaya
184.61,94.51,159.28,25.06,76.45,1480.44,6.29,papaya
150.27,95.22,218.23,28.13,74.96,1196.58,6.01,papaya
164.28,56.52,236.08,26.73,83.06,1186.09,6.38,papaya
165.91,55.97,210.24,25.35,87.94,1170.6,6.48,papaya
167.78,84.03,219.52,26.68,74.61,1320.9,6.36,papaya
185.03,97.69,228.67,25.56,73.29,1359.16,6.11,papaya
163.09,73.01,210.49,26.77,89.24,1353.35,6.11,papaya
182.91,89.45,203.08,26.27,75.85,1202.59,6.22,papaya
198.84,60.11,244.56,25.36,78.7,1033,6.34,papaya
171.99,92.6,170.95,29.4,70.22,1414.9,6.3,papaya
179.03,93.54,157.59,27.38,73.82,1066.42,6.39,papaya
194.41,51.2,153.95,27.85,87.82,1476.09,6.35,papaya
162.76,89.79,151.51,26.19,74.41,1114.09,6.33,papaya
182.57,96.48,170.29,28.01,75.26,1146.78,6.03,papaya
163.18,95.17,158.62,28.51,84.22,1388.31,6.22,papaya
163.18,66.71,174.92,25.94,70.67,1442.51,6.05,papaya
175.97,83.54,235.71,26.24,84.42,1351.52,6.33,papaya
150.03,75.32,231.54,28.14,74.87,1090.84,6.12,papaya
177.58,71.78,160.93,29.28,81.96,1158.22,6.46,papaya
176.42,95.49,213.29,28.52,74.13,1438.16,6.16,papaya
152.14,92.52,220.66,27.35,86.07,1185.66,6.49,papaya
156.96,76.07,165.33,29.23,83.44,1458.8,6.48,papaya
183.75,93.83,171.16,25.33,78.69,1080.82,6.15,papaya
192.16,56.89,181.33,25.79,79.5,1228.64,6.37,papaya
175.58,62.03,188.74,29.05,62.35,1458.36,6.53,orange
183.08,54.6,183.58,30.25,54.53,1263.87,6.7,orange
195.44,63.77,151.16,26.13,67.41,1281.01,6.28,orange
171.1,52.44,184.74,26.22,67.06,1390.2,6.62,orange
189.43,58.23,166.45,26.61,67,1137.21,6.04,orange
177.25,69.08,174.66,30.35,55.17,1336.44,6.46,orange
169.52,54.17,199.28,25.46,67.04,1128.79,6.07,orange
163.83,59.44,165.6,26.43,53.31,1314.8,6.75,orange
182.27,59.43,154.23,31.79,65.11,1403.52,6.43,orange
182.91,65.17,174.47,29.61,65.48,1108.62,6.32,orange
164.31,68.35,178.85,26.35,62.3,1385.09,6.29,orange
182.76,57.14,168.13,25.74,62.19,1487.26,6.41,orange
176.21,53.66,181,26.53,60.08,1455.46,6.29,orange
186.28,65.33,183.55,26.93,67.53,1237.99,6.31,orange
150.36,54.08,191.56,28.46,65.94,1412.14,6.45,orange
182.52,50.6,167.87,30.27,63.41,1252.65,6.15,orange
155.33,54.78,182.93,31.99,51.39,1088.59,6.5,orange
167.71,64.5,161.93,30.33,53.42,1248.01,6.92,orange
162.98,68.47,185.52,26,62.29,1354.5,6.76,orange
186.31,75.9,177.92,25.67,64.75,1043.6,6.09,orange
167.23,64.33,194.95,31.82,67.21,1377.9,6.04,orange
163.4,51.54,176.32,31.08,54.89,1142.01,6.25,orange
153.24,72.48,193.53,30.03,65.74,1494.71,6.24,orange
153.41,64.84,189.19,29.96,58.69,1064.12,6.21,orange
168.97,68.97,194.4,25.58,53.46,1385.41,6.72,orange
151.53,53.88,193.84,28.23,68.11,1425.57,6.19,orange
189.33,60.77,185.95,29.81,52.03,1454.72,6.91,orange
196.47,69.45,170.7,29.32,59.62,1387.4,6.28,orange
178.95,73.63,184.45,29.67,60.56,1132.48,6.33,orange
184.47,75.01,185.92,29.3,51.25,1197.91,6.32,orange
186.37,60.69,152.38,31.56,50.66,1384.41,6.66,orange
191.79,62.67,159.7,27.81,67.75,1488.9,6.86,orange
164.86,67.88,197.33,28.91,54.4,1343.02,6.85,orange
160.51,75.27,162,28.37,55.53,1087.6,6.22,orange
165.83,53.93,168.34,28.81,66.65,1351.26,6.52,orange
179.17,67.93,155.9,29.61,61.06,1367.91,6.93,orange
183.6,77.33,166.34,27.34,67.94,1354.66,6.12,orange
173.32,77.46,183.94,29.94,60.88,1485.73,6.93,orange
199.92,67.33,166.01,25.13,63.69,1134.75,6.3,orange
196.15,58.12,161.33,27.47,60.14,1450.78,6.36,orange
162.13,66.61,163.24,27.98,63.23,1470.64,6.54,orange
180.78,68.78,156.51,25.43,56.81,1355.25,6.02,orange
150.88,69.7,196.61,31.01,66.46,1324.36,6.13,orange
193.32,76.7,154.29,28.45,65.81,1028.08,6.05,orange
172.26,51.42,177.88,26.12,56.32,1199.57,6.41,orange
190.77,71.29,184.62,31.61,66.46,1208.7,6.14,orange
185.14,62.95,173.89,30.88,55.63,1074.09,6.99,orange
150.24,79.81,153.86,29.36,51.21,1247.91,6.62,orange
156.45,71.8,196.39,30.1,59.33,1317.62,6.41,orange
198.79,58.19,185.29,31.43,59.92,1254.66,6.16,orange
195.22,56.75,155.36,27.88,53.34,1250.45,6.64,orange
197.84,70,167.62,27.76,67.73,1304.02,6.94,orange
182.13,71.14,160.36,29.39,56.88,1172.56,6.19,orange
163.31,74.99,196.13,30.1,50.93,1338.87,6.87,orange
159.57,71.59,190.74,29.8,64.11,1186.35,6.97,orange
189.94,74.36,176.71,28.22,54.8,1387.82,6.47,orange
169.71,57.97,193.84,28.95,55.71,1001.84,6.99,orange
183.31,53.58,187.55,31.89,55.92,1151.04,6.25,orange
159.43,59.77,160.48,29.87,51.89,1130.98,6.83,orange
176.19,67.13,193.72,29.77,69.33,1301.52,6.29,orange
170.17,50.91,192.86,30.33,51.85,1320.23,6.53,orange
163.09,69.54,198.89,28.76,51.88,1423.99,6.66,orange
173.89,71.16,153.45,25.86,69.76,1311.84,6.75,orange
185.31,56.56,157.26,27.64,50.37,1376.86,6.31,orange
184.45,51.04,182.11,28.26,65.11,1143.05,6.9,orange
195.6,57.61,198.04,29.62,60.22,1377.51,6.92,orange
189.9,76.98,176.71,31.01,67.51,1327.48,6.27,orange
191.4,65.02,199.98,25.02,65.64,1103.29,6.03,orange
151.2,52.45,174.84,26.87,66.75,1340.06,6.6,orange
160.39,60.3,175.96,26.86,58.13,1198.29,6.08,orange
171.24,58.49,166.95,26.3,57.01,1349.48,6.35,orange
183.3,66.97,196.5,29.44,59.45,1018.92,6.88,orange
178.63,54.33,185.32,26.05,68.31,1459.72,6.05,orange
180.07,76.23,196.88,26.41,61.81,1190.41,6.6,orange
162.84,76.29,197.44,27.5,63.49,1333.06,6.85,orange
178.83,78.45,182.63,31.78,69.04,1352.61,6.43,orange
168.77,56.61,190.56,29.06,64.88,1098.64,6.52,orange
163.67,50.1,157.25,25.31,65.81,1143.94,6.96,orange
163.85,65.33,199.33,30.96,51.69,1341.67,6.62,orange
168.46,57.89,198.67,31.78,64.17,1154.08,6.87,orange
153.47,58.84,156.4,29.87,64.65,1294.22,6.14,orange
192.53,51.59,154.73,31.33,60.8,1151.45,6.1,orange
189.41,69.19,168.83,28,68.61,1177.84,6.33,orange
186.23,64.23,188.22,26.16,64.43,1398.12,6.22,orange
155.12,70.72,183.43,28.85,67.72,1437.08,6.97,orange
198.11,59.48,161.36,31.77,60.34,1150.5,6.73,orange
155.24,75.77,199.4,25.67,66.59,1331.76,6.9,orange
183.79,74.86,153.66,30.18,62.3,1429.01,6.89,orange
182.85,71.3,158.85,27.01,52.83,1408.78,6.07,orange
180.77,78.89,195.67,27.39,51.2,1363.5,6.81,orange
193.78,50.51,151.99,30.32,54.7,1362.48,6.72,orange
195.65,75.43,164.24,27.88,67.42,1047.06,6.98,orange
183.98,69.17,194.23,27.97,59.28,1499.17,6.64,orange
177.03,59.1,175.39,30.67,54.87,1454.6,6.79,orange
160.58,51.45,158.04,30.88,58.56,1421.81,6.68,orange
168.11,53.03,193.17,31.16,64.1,1151.98,6.53,orange
181.46,79.59,180.98,25.89,50.78,1146.51,6.12,orange
164.98,59.08,189.32,26.1,62.32,1299.18,6.78,orange
190.26,71.11,155.14,31.63,52.79,1023.4,6.81,orange
155.01,74.67,151.92,29.43,63.17,1450.85,6.87,orange
90.43,32.63,88.45,34.65,49.79,433.65,6.43,muskmelon
81.55,31.54,83.41,26.37,36.29,395.82,6.14,muskmelon
82.69,49.05,97.24,34.88,33.19,466.77,6.84,muskmelon
96.48,48.62,76.93,25.99,32.58,425.13,6.65,muskmelon
82.77,35.08,85.1,34.23,30.1,487.56,6.17,muskmelon
82.6,42.2,62.44,31.66,38.57,319.06,6.37,muskmelon
82.05,47.49,72.36,26.13,44.15,464.65,6.2,muskmelon
89.39,39.13,76.13,29.91,40.16,399.51,6.11,muskmelon
98.06,46.76,88.89,26.18,41.3,316.46,6.86,muskmelon
95.6,39.87,86.5,33.72,34.71,383.95,6.37,muskmelon
80.79,41.37,67.3,27.13,39.97,423.11,6.95,muskmelon
98.19,34.5,72.27,25.79,47.13,429.72,6.59,muskmelon
97.08,34.42,82.4,31.11,32.41,439.71,6.04,muskmelon
82.33,41.7,97.11,32.51,31.27,379.91,6.97,muskmelon
80.78,42.64,84.18,30.16,48.61,368.82,6.08,muskmelon
88.91,37.17,87.34,25.18,31.38,340.51,6.6,muskmelon
94.97,43.77,75.1,32.76,34.95,429.76,6.71,muskmelon
83.47,30.89,75.68,34.89,40.52,327.05,6.19,muskmelon
99.71,35.84,79.08,32.71,49.81,486.91,6.59,muskmelon
97.24,40.87,63.97,30.77,38.28,326.67,6.75,muskmelon
86.39,47.03,85.96,26.54,45.14,468.83,6.09,muskmelon
89.28,35.77,99.75,32.17,34.62,383.04,6.18,muskmelon
83.61,37.56,91.83,29.94,37.21,479.1,6.29,muskmelon
99,34.53,88.04,25.31,31.7,376.87,6.07,muskmelon
80.68,45.44,92.81,31.23,32.2,444.42,6.81,muskmelon
90.44,47.73,73.08,32.99,43.68,343.35,6.06,muskmelon
95.47,44.1,86.09,29.52,41.67,390.66,6.42,muskmelon
87.37,47.6,81.58,26.82,38.62,341.68,6.84,muskmelon
90.21,43.91,95.54,30.8,42.64,380.49,6.72,muskmelon
93.67,47.29,72.55,32.27,42.62,368.02,6.58,muskmelon
80.77,36.84,76.09,25.95,39.8,495.94,6.01,muskmelon
82.09,30.96,68.98,32.46,41.1,361.69,6.26,muskmelon
93.08,43.22,96.47,26.44,32.83,435.74,6.98,muskmelon
97.46,39.65,89.96,25.92,31.36,496.48,6.44,muskmelon
84.26,42.14,60.03,28.95,35.75,370.51,6.53,muskmelon
94.94,33.5,71.78,26.94,31.13,372.73,6.51,muskmelon
89.68,40.01,77.84,28.09,35.67,429.46,6.1,muskmelon
98.36,41.91,62.04,29.69,49.94,390.21,6.71,muskmelon
92.71,37.01,65.62,26.34,46.77,402.25,6.55,muskmelon
92.34,48.68,99.12,27.74,36.39,477.63,6.29,muskmelon
89.97,39.13,69.55,27.55,44.34,448.64,6.86,muskmelon
81.88,33.73,76.93,25.83,49.15,493.75,6.06,muskmelon
82.79,35.36,84.62,30.48,35.39,472.21,6.36,muskmelon
80.66,37.58,83.03,32.44,31.08,312.16,6.68,muskmelon
82.65,37.1,97.27,26.47,40.32,345.31,6.41,muskmelon
93.9,34.57,76.8,26.25,30.8,445.18,6.68,muskmelon
89.55,33.91,79.15,31.45,37.63,420.46,6.67,muskmelon
85.2,47.58,81.25,26.58,43.07,477.06,6.88,muskmelon
92.11,37.38,66.57,34.86,44.44,418.67,6.33,muskmelon
86.4,49.52,66.75,30.23,41.78,392.87,6.43,muskmelon
96.93,44.07,85.92,26.48,39.25,385.44,6,muskmelon
91.14,39.33,86.86,30.09,40.93,420.24,6.54,muskmelon
98.65,44.8,68.89,25.52,33.34,344.72,6.05,muskmelon
85.32,32.3,76.59,33.32,42.6,368.06,6.69,muskmelon
86.47,31.9,62.5,33.64,45.44,448.2,6.32,muskmelon
96.59,48.54,79.09,34.77,35.31,430.98,6.39,muskmelon
83.63,39.73,73.91,32.47,39.84,411.4,6.02,muskmelon
82.27,45.86,62.47,29.51,48.09,369.07,6.57,muskmelon
91.3,37.36,79.61,34.5,36.02,343.49,6.46,muskmelon
99.74,49.6,76.11,31.99,44.33,425.26,6.82,muskmelon
84.35,47.51,79.01,29.85,38.25,441.16,6.06,muskmelon
91.95,37.02,69.27,28.34,36.42,458.3,6.94,muskmelon
84.58,31.47,76.46,35,47.75,446.77,6.26,muskmelon
84.73,40.48,96.86,33.93,49.32,404.45,6.12,muskmelon
80.99,45.84,89.9,25.36,44.21,463,6.61,muskmelon
93.82,37.37,65.81,27.93,36.04,465.13,6.54,muskmelon
92.7,44.42,95.73,27.9,35.05,354.49,6.29,muskmelon
87.99,44.79,99.8,29.46,43.76,349.3,6.61,muskmelon
82.76,44.34,67.53,28.51,47.78,473.03,6.09,muskmelon
85.22,45.71,92.24,29.81,40.55,387.07,6.6,muskmelon
83.69,49.56,74.76,28.1,30.44,461.64,6.23,muskmelon
80.62,47.4,96.01,29.62,30.96,380.05,6.28,muskmelon
81.18,34.37,73.3,28.25,40.62,497.61,6.1,muskmelon
86.64,30.93,99.19,25.72,42.81,426,6.94,muskmelon
93.56,34.61,62.38,31.56,43.55,375.46,6.3,muskmelon
96.67,39.65,61.75,29.03,49.42,390.17,6.99,muskmelon
99.86,34.84,82.75,28.86,41.9,355.07,6.02,muskmelon
87.12,32.35,62.52,26.8,30.82,336.56,6.13,muskmelon
99.06,41.93,73.18,31.81,48.15,344.88,6.45,muskmelon
90.92,31.9,68.46,28.98,38.81,344.81,6.16,muskmelon
91.08,30.57,71.11,27.24,43.05,356.37,6.22,muskmelon
84.78,33.99,92.2,33.06,41.19,400.94,6.66,muskmelon
92.02,37.77,66.6,32.79,35.4,472.59,6.02,muskmelon
86.8,35.52,65.71,32.08,47.33,471.98,6.16,muskmelon
88.8,33.3,72.4,34.91,45.67,408.19,6.48,muskmelon
91.08,49.06,74.24,29.9,43.2,425.5,6.41,muskmelon
99.9,37.2,96.97,26.98,41.49,336.57,6.03,muskmelon
99.88,34.55,79.69,34.03,43.17,466.93,6.54,muskmelon
83.86,36.36,73.39,31.47,30.74,404.61,6.99,muskmelon
90.7,30.48,82.36,34.63,45.68,346.85,6.01,muskmelon
88.79,44.61,60.62,26.5,37.24,343.36,6.55,muskmelon
92.89,30.04,78.42,34.73,48.35,300.14,6.58,muskmelon
97.38,38.02,92.93,26.29,38.64,452.05,6.43,muskmelon
92.95,41.39,78.49,30.92,34.24,372.97,6.51,muskmelon
90.4,32.67,70.31,26.49,43.62,384.16,6.15,muskmelon
87.48,39.51,70.52,27.84,44.74,401.43,6.65,muskmelon
94.55,38.7,91.32,27.16,49.51,456.57,6.94,muskmelon
99.83,48.53,77.34,27.43,43.88,471.66,6.6,muskmelon
98.92,44.9,76.73,25.44,30.98,369.36,6.46,muskmelon
81.54,44.89,92.33,26.16,31.62,397.55,6.72,muskmelon
0.93,17.08,18.17,27.25,55.39,415.49,6.45,mungbeans
4.68,18.74,19.02,29.18,51.43,456.81,6.4,mungbeans
12.81,19.98,19.76,33.3,52.61,529.81,6.5,mungbeans
14.62,17.56,18.32,28.97,54.36,490.9,6.2,mungbeans
7.4,19.79,17.83,25.95,53.73,426.59,6.59,mungbeans
16.93,19.8,17.76,27,53.19,422.06,6.36,mungbeans
1.74,19.22,17.09,33.21,51.8,413.45,6.65,mungbeans
4.05,18.83,19.12,26.17,58.53,540.66,6.35,mungbeans
12.93,18.98,18.12,31.17,54.64,428.64,6.75,mungbeans
16.01,19.01,18.54,27,54.01,460.55,6.47,mungbeans
0.01,17.82,19.51,33.3,57.48,515.31,6.82,mungbeans
8.07,17.35,19.88,34.61,57.86,438.35,6.05,mungbeans
19.17,19.65,17.32,27.56,53.07,448.89,6.42,mungbeans
3.79,17.26,19.06,29.54,56.59,453.38,6.73,mungbeans
2.21,18.57,17.47,30.84,55.77,508.33,6.59,mungbeans
12.67,17.53,18.36,28.98,52.13,461.61,6.98,mungbeans
8.29,17.92,18.94,33.85,54.18,468.46,6.47,mungbeans
12.74,19.8,19.79,28.38,51.98,442.82,6.14,mungbeans
2.96,18.62,17.25,33.86,56.21,476.86,6.48,mungbeans
10.97,17.03,19.07,33.27,54.17,540.5,6.69,mungbeans
8.68,19.22,19.64,31.11,53.98,431.73,6.28,mungbeans
0.54,18.37,18.16,26.21,55.48,455,6.6,mungbeans
10.37,18.56,18.21,27.67,56.96,403.99,6.67,mungbeans
2.64,18.71,19.06,32.83,52.72,494.94,6.67,mungbeans
17.62,17.11,17.75,31.29,51.18,508.64,6.67,mungbeans
1.41,18.23,19.48,30.68,50.88,526.52,6.76,mungbeans
2.54,18.34,17.57,31.26,59.17,455.06,6.22,mungbeans
12.8,19.75,19.85,26.96,59.56,477.27,6.3,mungbeans
12.91,17.84,17.35,30.71,55.53,500.42,6.56,mungbeans
3.03,19.24,17.63,30.02,56.68,516.2,6.23,mungbeans
14.42,18.64,18.72,29.25,59.27,528.66,6.94,mungbeans
15.28,19.89,19.39,26.38,58.24,436.99,6.99,mungbeans
10.87,18.28,17.04,27.63,55.57,527.82,6.85,mungbeans
1.77,19.54,18.29,25.83,57.39,529.08,6.15,mungbeans
19.91,19.95,18.1,32.38,55.62,404.81,6.5,mungbeans
2.43,17.35,18.4,33.5,54.55,404.6,6.25,mungbeans
17.15,17.12,19.15,30.46,56.96,517.12,6.62,mungbeans
2.61,17.57,19.94,30.58,53.23,536.9,6.34,mungbeans
10.11,17.04,17.8,32.86,51.87,456.65,6.42,mungbeans
3.68,17.46,18.74,26.79,51.96,476.29,6.98,mungbeans
17.83,18.55,19.87,33.11,54.42,431.43,6.73,mungbeans
3.27,17.54,19.6,34.59,54.88,433.96,6.83,mungbeans
4.49,17.11,17.72,29.4,59.8,458.1,6.92,mungbeans
13.05,19.92,17.11,31.14,50.57,449.42,6.39,mungbeans
8.59,17.19,17.68,27.14,52.12,474.79,6.85,mungbeans
5.59,18.57,17.59,34.59,56.11,426.26,6.46,mungbeans
19.47,18.34,17.32,27.61,56.18,532.03,6.9,mungbeans
7.85,19.86,17.68,27.71,58.09,450.58,6.61,mungbeans
8.71,17.08,19.07,30.58,59.94,526.76,6.65,mungbeans
6.55,18.54,18.8,31.93,52.65,429.2,6.37,mungbeans
10.96,17.84,17.78,34.05,55.72,482.56,6.63,mungbeans
10.96,18.06,19.7,27.87,54.8,517.29,6.45,mungbeans
4.94,17.86,19.92,25.66,50.13,414.06,6.55,mungbeans
17.73,17.28,19.17,30.57,54.13,542.01,6.54,mungbeans
12.04,18.5,17.4,28.78,56.94,455.19,6.52,mungbeans
13.62,18.8,19.54,27.08,53.34,459.05,6.67,mungbeans
16.43,18.46,18.2,28.13,54.4,415.92,6.66,mungbeans
3.36,18.6,17.81,33.33,51.11,401.53,6.75,mungbeans
8.21,18.49,17.93,32.57,59.66,545.13,6.11,mungbeans
11.67,19.63,18.7,28.81,55.26,498.15,6.46,mungbeans
13.2,19.84,17.27,26.56,58.32,541,6.73,mungbeans
8.57,18.77,17.21,31.35,51.99,497.98,6.63,mungbeans
11.21,19.66,18.69,26.09,55.63,468.69,6.77,mungbeans
6.94,19.47,19,29.06,58.38,479.86,6.31,mungbeans
19.23,18.39,19.13,26.99,57.51,491.92,6.9,mungbeans
3.92,19.48,17.52,27.72,53.81,416.75,6.4,mungbeans
2.65,19.53,17.67,26.56,54.09,506.1,6.12,mungbeans
16.13,19.33,17.96,32.6,54.25,428.55,6.33,mungbeans
3.6,19.46,19.68,28.47,50.73,512.97,6.77,mungbeans
10.05,18.62,17.93,30.64,59.99,492.78,6.24,mungbeans
12.59,19.96,18.37,32.23,58.04,537.94,6.55,mungbeans
15.89,19.43,18.38,26.33,50.03,400.26,6.15,mungbeans
13.52,17.16,17.27,28.9,57.07,434.68,6.34,mungbeans
5.69,19.5,18.52,26.91,52.81,426.08,7,mungbeans
19.94,19.14,19.1,31.32,57.18,464.84,6.59,mungbeans
2.82,18.88,17.74,30.83,50.25,493.9,6.7,mungbeans
8.81,18.82,19.48,32.18,54.73,546.06,6.17,mungbeans
10.91,19.35,19.47,29.6,58.05,472.91,6.66,mungbeans
1.72,18.32,18.96,25.02,51.67,481.87,6.75,mungbeans
5.28,19.09,19.95,32.27,52.59,463.76,6.36,mungbeans
6.98,17.41,19.5,33.26,52.76,524.22,6.06,mungbeans
4.42,17.16,18.3,25.22,51.31,454.82,6.3,mungbeans
18.78,19.2,19.97,32.73,53.76,529.08,6.66,mungbeans
13,19.04,18.49,27.47,58.16,539.78,6.3,mungbeans
5.16,17.07,17.58,31.73,59.37,522.66,6.84,mungbeans
3.01,19.65,19.53,25.52,54.83,549.74,6.48,mungbeans
8.13,17.17,19.77,33.48,58.78,402.66,6.83,mungbeans
6.78,17.43,17.93,27.51,55.86,479.9,6.4,mungbeans
19.08,19.59,19.2,34.87,52.27,450,6.41,mungbeans
0.53,17.66,18.83,28.4,58.68,443.02,6.34,mungbeans
14.3,18.25,19.52,26.49,55.73,521.74,6.11,mungbeans
4.7,17.85,17.85,25.91,53.08,499.17,6.73,mungbeans
2.79,17.85,18.76,31.31,52.99,547.46,6.15,mungbeans
10.51,19.14,17.42,30.66,55.59,458.39,6.07,mungbeans
11.47,18.52,17.1,26.73,54.02,427.22,6.27,mungbeans
6.33,18.72,18.11,28.51,58.4,471.38,6.62,mungbeans
2.88,19.82,19.77,27.89,56.78,480.17,6.33,mungbeans
0.05,19.29,18.87,29.28,55.73,403.77,6.53,mungbeans
3.45,18.34,17.37,27.5,54.71,454.66,6.35,mungbeans
18.93,17.11,19.21,28.05,54.06,404.11,6.3,mungbeans
6.24,9.75,19.15,26.52,47.2,365.32,6.95,mothbeans
2.18,9.03,17.02,34.75,43.02,286.56,6.76,mothbeans
2.57,9.8,18.57,31.35,45.05,489,6.65,mothbeans
8.52,10.04,18.69,29.4,49.91,415.23,7.47,mothbeans
9.62,9.18,17.54,27.18,43.83,339.47,7.37,mothbeans
7.09,11.85,18.59,28.71,30.08,364.72,7.3,mothbeans
0.07,11.8,19.4,30.23,44.79,262.12,7.38,mothbeans
8.21,11.86,17.61,25.83,45.58,484.68,6.63,mothbeans
9.7,10.05,17.85,32.84,38.53,450.55,6.96,mothbeans
8,11.23,17.01,35.38,48.4,293.29,6.51,mothbeans
3.82,11.79,17.26,33.6,46.4,263,7.14,mothbeans
9.61,10.99,18.78,28.16,39.46,260.8,7.35,mothbeans
0.41,9.06,17.3,36.9,46.36,347.2,7.13,mothbeans
2.88,11.74,17.99,35.81,46.93,452.44,6.71,mothbeans
0.81,11.87,19.78,27.02,33.26,413.94,6.59,mothbeans
7.6,11.57,18.54,28.37,44.86,259.34,7.05,mothbeans
4.35,9.23,17.03,29.51,32.75,499.71,6.66,mothbeans
7.21,9.63,18,27.14,38.07,407.24,6.53,mothbeans
3.96,9.02,19.25,25.66,49.34,272,6.86,mothbeans
1.36,12.09,17.44,36.42,36.31,304.01,6.98,mothbeans
0.11,11.06,17.34,33.79,41.92,489.01,7.23,mothbeans
3.68,11.53,19.41,34.43,47.16,262.35,6.61,mothbeans
3.25,11.47,19.75,27.84,41.42,296.16,7.15,mothbeans
0.53,11.98,19.58,33.2,46.4,455.4,6.99,mothbeans
4.4,9.63,19.08,35.99,45.5,362.64,6.65,mothbeans
6.58,11.83,17.78,31.24,40.05,414.18,7.21,mothbeans
8.18,10.58,17.88,28.17,33.73,451.54,7.43,mothbeans
3.83,9.41,17.31,35.04,46.38,273.02,7.03,mothbeans
2.31,12.63,18.49,33.03,45.98,460.56,6.76,mothbeans
2.73,9.15,19.96,25.64,35.12,423.95,6.58,mothbeans
2.15,9.67,19.83,26.01,44.37,356.75,6.78,mothbeans
0.74,9.92,19.48,33.86,36.19,416.38,6.65,mothbeans
8.65,11.89,19.35,27.91,45.36,325.52,7.35,mothbeans
4.22,9.94,17.77,31.87,47.4,429.93,6.7,mothbeans
1.01,9.22,18.06,33.06,44.64,429.75,6.89,mothbeans
2.26,10.64,19.98,30.76,46.44,470.05,6.55,mothbeans
